codigo_municipio;descricao;macrorregiao;cres;regiao_metropolitana;referencia
231040;PARAMOTI                                ;4;5;N;201912
231050;PEDRA BRANCA                            ;4;8;N;201912
231060;PENAFORTE                               ;3;19;N;201912
231070;PENTECOSTE                              ;1;2;N;201912
231080;PEREIRO                                 ;5;10;N;201912
231085;PINDORETAMA                             ;1;22;S;201912
231090;PIQUET CARNEIRO                         ;3;18;N;201912
231095;PIRES FERREIRA                          ;2;11;N;201912
231100;PORANGA                                 ;2;15;N;201912
231110;PORTEIRAS                               ;3;19;N;201912
231120;POTENGI                                 ;3;20;N;201912
231123;POTIRETAMA                              ;5;10;N;201912
231126;QUITERIANOPOLIS                         ;2;15;N;201912
231130;QUIXADA                                 ;4;8;N;201912
231135;QUIXELO                                 ;3;18;N;201912
231140;QUIXERAMOBIM                            ;4;8;N;201912
231150;QUIXERE                                 ;5;10;N;201912
231160;REDENCAO                                ;1;3;N;201912
231170;RERIUTABA                               ;2;11;N;201912
231180;RUSSAS                                  ;5;9;N;201912
231190;SABOEIRO                                ;3;18;N;201912
231195;SALITRE                                 ;3;20;N;201912
231200;SANTANA DO ACARAU                       ;2;11;N;201912
231210;SANTANA DO CARIRI                       ;3;20;N;201912
231220;SANTA QUITERIA                          ;2;11;N;201912
231230;SAO BENEDITO                            ;2;13;N;201912
231240;SAO GONCALO DO AMARANTE                 ;1;2;S;201912
231250;SAO JOAO DO JAGUARIBE                   ;5;10;N;201912
231260;SAO LUIS DO CURU                        ;1;2;S;201912
231270;SENADOR POMPEU                          ;4;8;N;201912
231280;SENADOR SA                              ;2;11;N;201912
231290;SOBRAL                                  ;2;11;N;201912
231300;SOLONOPOLE                              ;4;8;N;201912
231310;TABULEIRO DO NORTE                      ;5;10;N;201912
231320;TAMBORIL                                ;2;15;N;201912
231325;TARRAFAS                                ;3;20;N;201912
231330;TAUA                                    ;4;14;N;201912
231335;TEJUCUOCA                               ;1;2;N;201912
231340;TIANGUA                                 ;2;13;N;201912
231350;TRAIRI                                  ;1;6;S;201912
231355;TURURU                                  ;1;6;N;201912
231360;UBAJARA                                 ;2;13;N;201912
231370;UMARI                                   ;3;17;N;201912
231375;UMIRIM                                  ;1;6;N;201912
231380;URUBURETAMA                             ;1;6;N;201912
231390;URUOCA                                  ;2;11;N;201912
231395;VARJOTA                                 ;2;11;N;201912
231400;VARZEA ALEGRE                           ;3;20;N;201912
231410;VICOSA DO CEARA                         ;2;13;N;201912
